#   Fibonacci index  |   Time (s)   | Size (bytes) 
# -------------------+--------------+--------------
                   0 | 0.000020700s | 8 B
                   1 | 0.000002500s | 8 B
                   2 | 0.000002900s | 8 B
                   3 | 0.000002900s | 8 B
                   4 | 0.000002700s | 8 B
                   5 | 0.000002900s | 8 B
                   6 | 0.000003000s | 8 B
                   7 | 0.000002500s | 8 B
                   8 | 0.000002600s | 8 B
                   9 | 0.000002600s | 8 B
                  10 | 0.000002700s | 8 B
                  11 | 0.000002700s | 8 B
                  12 | 0.000002700s | 8 B
                  13 | 0.000003500s | 8 B
                  14 | 0.000002900s | 8 B
                  15 | 0.000002700s | 8 B
                  16 | 0.000002500s | 8 B
                  17 | 0.000002600s | 8 B
                  18 | 0.000002800s | 8 B
                  19 | 0.000003000s | 8 B
                  20 | 0.000003300s | 8 B
                  21 | 0.000003500s | 8 B
                  22 | 0.000003300s | 8 B
                  23 | 0.000002900s | 8 B
                  24 | 0.000002900s | 8 B
                  25 | 0.000003200s | 8 B
                  26 | 0.000003000s | 8 B
                  27 | 0.000002700s | 8 B
                  28 | 0.000002500s | 8 B
                  29 | 0.000002500s | 8 B
                  30 | 0.000002900s | 8 B
                  31 | 0.000003200s | 8 B
                  32 | 0.000002800s | 8 B
                  33 | 0.000003000s | 8 B
                  34 | 0.000011000s | 8 B
                  35 | 0.000002700s | 8 B
                  36 | 0.000002700s | 8 B
                  37 | 0.000002700s | 8 B
                  38 | 0.000002700s | 8 B
                  39 | 0.000002800s | 8 B
                  40 | 0.000002900s | 8 B
                  41 | 0.000003600s | 8 B
                  42 | 0.000002900s | 8 B
                  43 | 0.000002600s | 8 B
                  44 | 0.000003000s | 8 B
                  45 | 0.000002700s | 8 B
                  46 | 0.000003200s | 8 B
                  47 | 0.000002900s | 8 B
                  48 | 0.000003000s | 8 B
                  49 | 0.000002700s | 8 B
                  50 | 0.000002900s | 8 B
                  51 | 0.000002500s | 8 B
                  52 | 0.000003500s | 8 B
                  53 | 0.000002900s | 8 B
                  54 | 0.000003400s | 8 B
                  55 | 0.000002700s | 8 B
                  56 | 0.000003100s | 8 B
                  57 | 0.000002700s | 8 B
                  58 | 0.000002900s | 8 B
                  59 | 0.000002800s | 8 B
                  60 | 0.000002800s | 8 B
                  61 | 0.000002400s | 8 B
                  62 | 0.000002600s | 8 B
                  63 | 0.000004000s | 8 B
                  64 | 0.000003500s | 8 B
                  65 | 0.000002600s | 8 B
                  66 | 0.000002700s | 8 B
                  67 | 0.000002700s | 8 B
                  68 | 0.000002800s | 8 B
                  69 | 0.000003400s | 8 B
                  70 | 0.000003400s | 8 B
                  71 | 0.000002900s | 8 B
                  72 | 0.000002500s | 8 B
                  73 | 0.000003100s | 8 B
                  74 | 0.000002700s | 8 B
                  75 | 0.000003100s | 8 B
                  76 | 0.000003200s | 8 B
                  77 | 0.000002600s | 8 B
                  78 | 0.000002300s | 8 B
                  79 | 0.000002800s | 8 B
                  80 | 0.000002400s | 8 B
                  81 | 0.000002500s | 8 B
                  82 | 0.000002500s | 8 B
                  83 | 0.000002600s | 8 B
                  84 | 0.000002400s | 8 B
                  85 | 0.000003000s | 8 B
                  86 | 0.000002100s | 8 B
                  87 | 0.000002700s | 8 B
                  88 | 0.000002800s | 8 B
                  89 | 0.000017900s | 8 B
                  90 | 0.000003000s | 8 B
                  91 | 0.000003200s | 8 B
                  92 | 0.000002700s | 8 B
                  93 | 0.000002400s | 8 B
                  94 | 0.000002300s | 16 B
                  95 | 0.000002700s | 16 B
                  96 | 0.000003100s | 16 B
                  97 | 0.000003000s | 16 B
